latitude,longitude,business_stars,review_count,restaurantspricerange2,category_count,is_restaurant,is_food,is_nightlife,is_fast_food,is_pizza,is_coffee,wifi_free,has_alcohol,full_bar,attire_casual,attire_formal,noiselevel_num,hours_open_per_week,days_open,avg_hours_per_day,open_late,open_early,weekend_hours,availability_ratio,nearest_dist_km,num_neighbors_1km,avg_neighbor_rating,competition_density,rating_vs_area,reviews_vs_area,price_vs_area,target
39.9496993,-75.162185,4.5,1140,1.0,6,1,0,1,0,0,1,0,1,0,0,0,,48.0,7.0,6.857142857142857,1.0,0.0,14.0,0.2857142857142857,0.0,1102,3.8607078039927405,350.7766743060861,0.6987004103967167,513.0998632010944,0.0,1
39.8960707,-74.9491673,4.5,192,1.0,4,1,0,0,0,0,0,0,1,0,0,0,,53.0,6.0,8.833333333333334,1.0,1.0,18.0,0.31547619047619047,0.0,9,3.888888888888889,2.8647822765469826,0.7373737373737375,-57.31313131313132,0.0,1
40.2276684852,-75.4042598357,3.5,16,1.0,6,1,1,0,0,0,0,0,1,0,0,0,,85.0,7.0,12.142857142857142,1.0,0.0,26.0,0.5059523809523809,0.02839758262683432,7,3.642857142857143,2.228163992869875,0.125,-24.25,0.0,0
27.9819599851,-82.8272973318,4.5,1824,1.0,6,1,0,0,0,0,0,0,1,0,0,0,,114.0,7.0,16.285714285714285,1.0,1.0,33.0,0.6785714285714286,0.0,63,3.857142857142857,20.053475935828878,0.6645569620253164,1537.042194092827,0.0,1
39.9767276,-75.1237185,4.5,246,1.0,5,1,1,0,0,0,1,0,1,0,0,0,,38.0,6.0,6.333333333333333,1.0,1.0,10.0,0.2261904761904762,0.0,49,3.938775510204082,15.597147950089127,0.6987004103967167,-380.9001367989056,0.0,1
38.682904,-90.477598,3.5,67,1.0,4,1,0,1,0,0,0,0,1,0,0,0,,58.0,6.0,9.666666666666666,1.0,0.0,8.0,0.34523809523809523,0.02379566834730718,6,4.0,1.9098548510313216,-0.31786703601108046,-375.26038781163436,0.0,1
27.9770768,-82.8277495,3.5,408,1.0,6,1,1,0,0,0,0,0,1,0,0,0,,79.0,7.0,11.285714285714286,1.0,0.0,23.0,0.47023809523809523,0.0,84,3.863095238095238,26.737967914438503,-0.3095238095238093,-374.93650793650795,0.0,0
39.9477453,-75.159542,4.0,896,1.0,15,1,1,1,0,1,1,0,1,0,0,0,,30.0,7.0,4.285714285714286,1.0,0.0,9.0,0.17857142857142858,0.0,1055,3.871090047393365,335.81614463967406,0.1987004103967167,269.0998632010944,0.0,0
39.951761,-75.16913,3.5,64,1.0,2,1,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021378365226197116,996,3.8463855421686746,317.0359052711994,-0.3012995896032833,-562.9001367989056,0.0,1
27.91735591,-82.81813547,3.5,184,1.0,4,1,0,0,0,0,0,0,1,0,0,0,,37.0,7.0,5.285714285714286,1.0,0.0,11.0,0.22023809523809523,0.0,7,4.0,2.228163992869875,-0.4375,-13.75,0.0,1
39.954262,-75.211595,4.0,112,1.0,4,1,0,0,0,0,0,0,1,0,0,0,,77.0,7.0,11.0,1.0,0.0,22.0,0.4583333333333333,0.010706850148412075,101,3.6930693069306932,32.14922332569392,0.1987004103967167,-514.9001367989056,0.0,0
36.075781,-86.919476,4.5,73,1.0,5,1,0,0,0,0,0,0,1,0,0,0,,73.5,7.0,10.5,0.0,0.0,21.0,0.4375,0.12748345036920072,17,3.6470588235294117,5.411255411255412,0.6148843930635839,-697.2471098265896,0.0,1
39.9503880379,-75.160978619,3.0,286,1.0,7,1,0,1,0,1,0,0,1,0,0,0,,63.5,6.0,10.583333333333334,1.0,1.0,25.0,0.37797619047619047,0.0,1063,3.854656632173095,338.3626177743825,-0.8012995896032833,-340.9001367989056,0.0,0
27.8905788636,-82.6657623053,3.5,73,1.0,9,1,0,1,0,0,0,0,1,0,0,0,,36.0,7.0,5.142857142857143,1.0,1.0,10.0,0.21428571428571427,0.4696849249291573,5,3.4,1.591545709192768,-0.41233766233766245,-268.83116883116884,0.0,1
